"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Source"
"Derevianko A.; Pizzoli S.F.M.; Pesapane F.; Rotili A.; Monzani D.; Grasso R.; Cassano E.; Pravettoni G.","Derevianko, Alexandra (57685209700); Pizzoli, Silvia Francesca Maria (57194183713); Pesapane, Filippo (56047669200); Rotili, Anna (57193926123); Monzani, Dario (55356963500); Grasso, Roberto (57188999504); Cassano, Enrico (15069239600); Pravettoni, Gabriella (16553315000)","57685209700; 57194183713; 56047669200; 57193926123; 55356963500; 57188999504; 15069239600; 16553315000","The Use of Artificial Intelligence (AI) in the Radiology Field: What Is the State of Doctor–Patient Communication in Cancer Diagnosis?","2023","Cancers","5","10.3390/cancers15020470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146647265&doi=10.3390%2fcancers15020470&partnerID=40&md5=89818aeba825e409797037fd5bf30dc8","Background: In the past decade, interest in applying Artificial Intelligence (AI) in radiology to improve diagnostic procedures increased. AI has potential benefits spanning all steps of the imaging chain, from the prescription of diagnostic tests to the communication of test reports. The use of AI in the field of radiology also poses challenges in doctor–patient communication at the time of the diagnosis. This systematic review focuses on the patient role and the interpersonal skills between patients and physicians when AI is implemented in cancer diagnosis communication. Methods: A systematic search was conducted on PubMed, Embase, Medline, Scopus, and PsycNet from 1990 to 2021. The search terms were: (“artificial intelligence” or “intelligence machine”) and “communication” “radiology” and “oncology diagnosis”. The PRISMA guidelines were followed. Results: 517 records were identified, and 5 papers met the inclusion criteria and were analyzed. Most of the articles emphasized the success of the technological support of AI in radiology at the expense of patient trust in AI and patient-centered communication in cancer disease. Practical implications and future guidelines were discussed according to the results. Conclusions: AI has proven to be beneficial in helping clinicians with diagnosis. Future research may improve patients’ trust through adequate information about the advantageous use of AI and an increase in medical compliance with adequate training on doctor–patient diagnosis communication. © 2023 by the authors.","artificial intelligence; communication; decision-making; patient empowerment","artificial intelligence; breast cancer; cancer diagnosis; cancer screening; cultural factor; doctor patient relationship; Dutchman; human; Internet; Likert scale; mammography; population research; practice guideline; psychological aspect; qualitative research; Review; sample size; semi structured interview; systematic review","Review","Scopus"
"Wang S.; Summers R.M.","Wang, Shijun (8585423900); Summers, Ronald M. (7202364932)","8585423900; 7202364932","Machine learning and radiology","2012","Medical Image Analysis","440","10.1016/j.media.2012.02.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861986826&doi=10.1016%2fj.media.2012.02.005&partnerID=40&md5=593d22de47064743f750d76eca31304c","In this paper, we give a short introduction to machine learning and survey its applications in radiology. We focused on six categories of applications in radiology: medical image segmentation, registration, computer aided detection and diagnosis, brain function or activity analysis and neurological disease diagnosis from fMR images, content-based image retrieval systems for CT or MRI images, and text analysis of radiology reports using natural language processing (NLP) and natural language understanding (NLU). This survey shows that machine learning plays a key role in many radiology applications. Machine learning identifies complex patterns automatically and helps radiologists make intelligent decisions on radiology data such as conventional radiographs, CT, MRI, and PET images and radiology reports. In many applications, the performance of machine learning-based automatic detection and diagnosis systems has shown to be comparable to that of a well-trained and experienced radiologist. Technology development in machine learning and radiology will benefit from each other in the long run. Key contributions and common characteristics of machine learning techniques in radiology are discussed. We also discuss the problem of translating machine learning applications to the radiology clinical setting, including advantages and potential barriers. © 2012 .","Computer-aided detection and diagnosis; Image segmentation; Machine learning; Radiology; Survey","Algorithms; Artificial Intelligence; Image Enhancement; Image Interpretation, Computer-Assisted; Pattern Recognition, Automated; Reproducibility of Results; Sensitivity and Specificity; Subtraction Technique; Computational linguistics; Computer aided analysis; Diagnosis; Image segmentation; Learning algorithms; Learning systems; Medical image processing; Natural language processing systems; Radiation; Surveys; Activity analysis; Automatic Detection; Brain functions; Clinical settings; Complex pattern; Computer-aided detection and diagnosis; Content-based image retrieval system; Intelligent decisions; Machine learning applications; Machine learning techniques; Medical image segmentation; MRI Image; NAtural language processing; Natural language understanding; Neurological disease; PET images; Potential barriers; Radiology reports; Technology development; Text analysis; artificial neural network; brain function; clinical decision making; clinical practice; cluster analysis; computer assisted diagnosis; computer assisted tomography; electroencephalogram; functional magnetic resonance imaging; health care survey; image processing; image registration; image segmentation; kernel method; language processing; learning algorithm; machine learning; natural language processing; neurologic disease; positron emission tomography; priority journal; probability; radiography; radiologist; radiology; receiver operating characteristic; reinforcement; review; statistical analysis; statistical model; training; Radiology","Review","Scopus"
"Hammana I.; Lepanto L.; Poder T.; Bellemare C.; Ly M.-S.","Hammana, Imane (22950408700); Lepanto, Luigi (6701418549); Poder, Thomas (35318212000); Bellemare, Christian (36977946300); Ly, My-Sandra (57204341286)","22950408700; 6701418549; 35318212000; 36977946300; 57204341286","Speech recognition in the radiology department: A systematic review","2015","Health Information Management Journal","32","10.12826/18333575.2014.0017.Lepanto","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975471983&doi=10.12826%2f18333575.2014.0017.Lepanto&partnerID=40&md5=7e0070ae28bcd3d72b52d953f9fb9889","Objective: To conduct a systematic review of the literature describing the impact of speech recognition systems on report error rates and productivity in radiology departments. Methods: The search was conducted for relevant papers published from January 1992 to October 2013 Comparative studies reporting any of the following outcomes were selected: error rates, departmental productivity, and radiologist productivity. The retrieved studies were assessed for quality and risk of bias. Results: The literature search identified 85 potentially relevant publications, but, based on the inclusion and exclusion criteria, only 20 were included. Most studies were before and after assessments with no control group. There was a large amount of heterogeneity due to differences in the imaging modalities assessed and the outcomes measured. The percentage of reports containing at least one error varied from 4.8% to 89% for speech recognition, and from 2.1% to 22% for transcription. Departmental productivity was improved with decreases in report turnaround times varying from 35% to 99%. Most studies found a lengthening of radiologist dictation time. Conclusion: Overall gains in departmental productivity were high, but radiologist productivity, as measured by the time to produce a report, was diminished. © 2015, SAGE Publications Inc. All rights reserved.","Efficiency; Radiology; Radiology department; Radiology information systems; Review; Review literature as topic; Speech recognition software; Systematic","Efficiency, Organizational; Medical Records Systems, Computerized; Radiology Department, Hospital; Radiology Information Systems; Speech Recognition Software; automatic speech recognition; comparative study; control group; DNA transcription; human; imaging; literature; productivity; publication; radiologist; radiology department; radiology information system; systematic review; turnaround time; electronic medical record system; organization and management; radiology department; radiology information system; standards","Review","Scopus"
"Bizzo B.C.; Almeida R.R.; Alkasab T.K.","Bizzo, Bernardo C. (37050694500); Almeida, Renata R. (57195611240); Alkasab, Tarik K. (7801646987)","37050694500; 57195611240; 7801646987","Artificial Intelligence Enabling Radiology Reporting","2021","Radiologic Clinics of North America","3","10.1016/j.rcl.2021.07.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117709143&doi=10.1016%2fj.rcl.2021.07.004&partnerID=40&md5=800318e84da2c7560b1b5e1604e9dc8d","[No abstract available]","Artificial intelligence; Deep learning; Integration; Machine learning; Radiology; Report; Structured","Artificial Intelligence; Diagnostic Imaging; Humans; Image Interpretation, Computer-Assisted; Radiology; algorithm; artificial intelligence; computer aided design; computer assisted reporting; computer assisted tomography; data integration; decision support system; deep learning; electronic health record; feedback system; human; image segmentation; information processing; internal consistency; machine learning; medical examination; natural language processing; practice guideline; radiologist; radiology; Review; computer assisted diagnosis; diagnostic imaging; procedures; radiology","Review","Scopus"
"Dreyer K.J.; Kalra M.K.; Maher M.M.; Hurier A.M.; Asfaw B.A.; Schultz T.; Halpern E.F.; Thrall J.H.","Dreyer, Keith J. (7006172475); Kalra, Mannudeep K. (7007035549); Maher, Michael M. (35468364500); Hurier, Autumn M. (16637133300); Asfaw, Benjamin A. (7004420437); Schultz, Thomas (15134494100); Halpern, Elkan F. (24440392500); Thrall, James H. (7006223004)","7006172475; 7007035549; 35468364500; 16637133300; 7004420437; 15134494100; 24440392500; 7006223004","Application of recently developed computer algorithm for automatic classification of unstructured radiology reports: Validation study","2005","Radiology","104","10.1148/radiol.2341040049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-12344287992&doi=10.1148%2fradiol.2341040049&partnerID=40&md5=70c315d7b54df9802948760083b24f93","PURPOSE: To validate the accuracy of Lexicon Mediated Entropy Reduction (LEXIMER), a new information theory-based computer algorithm developed by the authors for independent analysis and classification of unstructured radiology reports based on the presence of clinically important findings (FT, where T represents ""true"") and recommendations for subsequent action (RT). MATERIALS AND METHODS: The study was approved by the Human Research Committee of the institutional review board. Consecutive de-identified radiology reports (n = 1059) comprising results of barium studies (n = 99), computed tomography (n = 107), mammography (n = 90), magnetic resonance imaging (n = 108), nuclear medicine (n = 99), positron emission tomography (n = 106), radiography (n = 212), ultrasonography (n = 131), and vascular procedures (n = 107) were independently analyzed by two radiologists and then with LEXIMER to categorize the reports into FT and F T-0 (containing or not containing clinically important findings) categories and RT and RT-0 (containing or not containing recommendations for subsequent action) categories. Accuracy, sensitivity, specificity, and positive and negative predictive values of LEXIMER for placing reports into FT and FT0 and RT and R T0 categories were assessed by using appropriate statistical tests. RESULTS: There was strong interobserver concordance between the two radiologists for placing radiology reports into FT and RT categories (K = 0.9, P < .01). For the LEXIMER program, accuracy, sensitivity, specificity, and positive and negative predictive values, respectively, were 97.5% (95% confidence interval [Cl]: 96.6%, 98.5%), 98.9% (95% Cl: 97.9%, 99.6%), 94.9% (95% Cl: 93.1%, 96.0%), 97.5% (95% Cl: 96.6%, 98.0%), and 97.7% (95% Cl: 95.8%, 98.8%) for placing radiology reports into FT and FT0 categories and 99.6% (95% Cl: 99.2%, 99.9%), 98.2% (95% Cl: 95.0%, 99.6%), 99.9% (95% Cl: 99.4%, 99.99%), 99.4% (95% Cl: 96.3%, 99.9%), and 99.7% (95% Cl: 98.9%, 99.9%) for placing reports into RT and R TO categories. CONCLUSION: LEXIMER is an accurate automated engine for evaluating the percentage positivity of clinically important findings and rates of recommendation for subsequent action in unstructured radiology reports. © RSNA, 2004.","","Algorithms; Decision Making, Computer-Assisted; False Negative Reactions; False Positive Reactions; Humans; Magnetic Resonance Imaging; Mammography; Observer Variation; Radiology Information Systems; Radionuclide Imaging; Sensitivity and Specificity; Tomography, Emission-Computed, Single-Photon; Tomography, X-Ray Computed; Ultrasonography; barium; accuracy; algorithm; analysis; classification; computer assisted tomography; computer program; data base; echography; human; information system; lexicon mediated entropy reduction; mammography; nuclear magnetic resonance imaging; nuclear medicine; positron emission tomography; prediction and forecasting; priority journal; radiography; radiologist; radiology; review; sensitivity and specificity; statistical analysis","Review","Scopus"
"Smith J.J.; Berlin L.","Smith, J.J. (56599143100); Berlin, L. (35586528800)","56599143100; 35586528800","Malpractice issues in radiology: Picture archiving and communication systems (PACS) and the loss of patient examination records","2001","American Journal of Roentgenology","19","10.2214/ajr.176.6.1761381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034985152&doi=10.2214%2fajr.176.6.1761381&partnerID=40&md5=68c92c8333456c2d026a0a845d267cf8","PACS and departments that do not use film are relatively new developments in radiology and have yet to be explicitly explored in depth by the courts. However, a considerable body of existing law addressing injury resulting from lost or misplaced radiologic images indicates the strong possibility that liability will be imposed on radiologists should PACS images be lost or misplaced and patient injury results. Risk management in radiology can lessen the likelihood of incurring a medical malpractice lawsuit, maximize the chance for a successful defense if such a suit is filed, and at the same time enhance the quality of patient care. The following risk-management pointers will help radiologists meet all of these objectives when faced with potential liability arising from lost PACS images. Radiologists using PACS in all or part of their practice should develop and implement quality control mechanisms to ensure that all examinations performed are successfully transmitted to the PACS network and interpreted in a timely fashion. Because this may be difficult for an individual radiologist to accomplish in a busy radiology department, dedicated personnel or an effective automated system may be required. A formal mechanism should be created to identify and address all uninterpreted PACS examinations and a formal policy established for all radiologists to follow in promptly interpreting them. In situations in which an entire study or key images are lost, or when images cannot otherwise be interpreted, the referring physician or the patient should be promptly contacted to schedule a repeated study.","","Aneurysm, Dissecting; Aortic Aneurysm, Abdominal; Humans; Liability, Legal; Male; Malpractice; Medical Records; Middle Aged; Physician-Patient Relations; Radiology Department, Hospital; Radiology Information Systems; Tomography, X-Ray Computed; adult; case report; diagnostic imaging; health care policy; health care quality; human; information center; law suit; male; malpractice; medical liability; medical record; medicolegal aspect; priority journal; radiology; review; risk management; X ray film; abdominal aorta aneurysm; article; computer assisted tomography; dissecting aneurysm; doctor patient relation; hospital information system; legal aspect; legal liability; malpractice; middle aged; radiography; radiology department; standard","Review","Scopus"
"Langlotz C.P.","Langlotz, Curtis P. (20134955200)","20134955200","Automatic structuring of radiology reports: Harbinger of a second information revolution in radiology","2002","Radiology","52","10.1148/radiol.2241020415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036089454&doi=10.1148%2fradiol.2241020415&partnerID=40&md5=96f09319e9e8b84dbff25e11691b9423","The study reported by Hripcsak and colleagues gives us a glimpse of the future of radiology reporting, illustrates the benefits of structured reports, and highlights the need to change current radiology reporting methods.","Radiology and radiologists, research; Radiology reporting systems","data base; information processing; medical record; priority journal; radiology; review","Review","Scopus"
"Murugan V.A.; Chatfield M.B.; Rehani M.; Kalra M.K.","Murugan, Venkatesh A. (56841382500); Chatfield, Mythreyi B. (6602216736); Rehani, Madan (7003893393); Kalra, Mannudeep K. (7007035549)","56841382500; 6602216736; 7003893393; 7007035549","ACR DIR: A user's guide for cardiothoracic radiologists: Part 2: How to interpret your DIR report","2015","Journal of Thoracic Imaging","5","10.1097/rti.0000000000000152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944876731&doi=10.1097%2frti.0000000000000152&partnerID=40&md5=47a195788cbaaeca917b972b8f93a219","In the initial installment of this 3-part article, we reviewed the role and logistics of the American College of Radiology (ACR) Dose Index Registry (DIR). In this second installment, we review the essential components of ACR DIR and describe how users can interpret their biannual dose reports by benchmarking them against regional or national levels. Understanding these reports can help participating institutions to identify specific protocols or practices that may benefit from changes in order to minimize patient dose while maintaining diagnostic quality examinations. Copyright © 2015 Wolters Kluwer Health, Inc. All rights reserved.","Dose Index Registry; Interpreting report; Scenarios","Automatic Data Processing; Heart; Humans; Radiation Dosage; Radiography, Thoracic; Registries; Societies, Medical; Tomography, X-Ray Computed; United States; cardiothoracic radiologist; comparative study; computer assisted tomography; dose index registry; human; quality control; radiation dose; radiation monitoring; radiologist; register; Review; heart; information processing; medical society; procedures; radiation dose; radiography; register; statistics and numerical data; thorax radiography; United States","Review","Scopus"
"Tagliafico A.S.; Campi C.; Bianca B.; Bortolotto C.; Buccicardi D.; Francesca C.; Prost R.; Rengo M.; Faggioni L.","Tagliafico, Alberto Stefano (19640417200); Campi, Cristina (57793382700); Bianca, Bignotti (57478286000); Bortolotto, Chandra (36898193500); Buccicardi, Duccio (6506387931); Francesca, Coppola (57477400000); Prost, Roberto (57213344549); Rengo, Marco (55387537100); Faggioni, Lorenzo (24402684100)","19640417200; 57793382700; 57478286000; 36898193500; 6506387931; 57477400000; 57213344549; 55387537100; 24402684100","Blockchain in radiology research and clinical practice: current trends and future directions","2022","Radiologia Medica","21","10.1007/s11547-022-01460-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125806737&doi=10.1007%2fs11547-022-01460-1&partnerID=40&md5=cc63b85e6004623c4666f781da9cd15a","Blockchain usage in healthcare, in radiology, in particular, is at its very early infancy. Only a few research applications have been tested, however, blockchain technology is widely known outside healthcare and widely adopted, especially in Finance, since 2009 at least. Learning by history, radiology is a potential ideal scenario to apply this technology. Blockchain could have the potential to increase radiological data value in both clinical and research settings for the patient digital record, radiological reports, privacy control, quantitative image analysis, cybersecurity, radiomics and artificial intelligence. Up-to-date experiences using blockchain in radiology are still limited, but radiologists should be aware of the emergence of this technology and follow its next developments. We present here the potentials of some applications of blockchain in radiology. © 2022, The Author(s).","Blockchain; Imaging; Informatics; Radiology; Technology","Artificial Intelligence; Blockchain; Delivery of Health Care; Humans; Radiologists; Radiology; adult; artificial intelligence; blockchain; clinical practice; computer security; human; image analysis; information science; privacy; quantitative analysis; radiologist; radiology; radiomics; review; health care delivery","Review","Scopus"
"Monshi M.M.A.; Poon J.; Chung V.","Monshi, Maram Mahmoud A. (57203618740); Poon, Josiah (7005903715); Chung, Vera (57204593466)","57203618740; 7005903715; 57204593466","Deep learning in generating radiology reports: A survey","2020","Artificial Intelligence in Medicine","72","10.1016/j.artmed.2020.101878","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084946854&doi=10.1016%2fj.artmed.2020.101878&partnerID=40&md5=8c8ba6a73758e1cc84f9e22dbca1d1dd","Substantial progress has been made towards implementing automated radiology reporting models based on deep learning (DL). This is due to the introduction of large medical text/image datasets. Generating radiology coherent paragraphs that do more than traditional medical image annotation, or single sentence-based description, has been the subject of recent academic attention. This presents a more practical and challenging application and moves towards bridging visual medical features and radiologist text. So far, the most common approach has been to utilize publicly available datasets and develop DL models that integrate convolutional neural networks (CNN) for image analysis alongside recurrent neural networks (RNN) for natural language processing (NLP) and natural language generation (NLG). This is an area of research that we anticipate will grow in the near future. We focus our investigation on the following critical challenges: understanding radiology text/image structures and datasets, applying DL algorithms (mainly CNN and RNN), generating radiology text, and improving existing DL based models and evaluation metrics. Lastly, we include a critical discussion and future research recommendations. This survey will be useful for researchers interested in DL, particularly those interested in applying DL to radiology reporting. © 2020 Elsevier B.V.","Convolutional neural network; Deep learning; Natural language processing; Radiology; Recurrent neural network","Algorithms; Deep Learning; Humans; Natural Language Processing; Neural Networks, Computer; Radiology; Convolutional neural networks; Image analysis; Large dataset; Medical imaging; Natural language processing systems; Radiology; Recurrent neural networks; Surveys; Critical challenges; Critical discussions; Evaluation metrics; Natural language generation; NAtural language processing; Radiology reporting; Radiology reports; Recurrent neural network (RNN); attention; convolutional neural network; deep learning; human; human experiment; image analysis; natural language processing; radiologist; radiology; recurrent neural network; review; algorithm; natural language processing; Radiation","Review","Scopus"
"Feng Y.; Teh H.S.; Cai Y.","Feng, Yeli (57201116310); Teh, Hui Seong (55664517400); Cai, Yiyu (57711822600)","57201116310; 55664517400; 57711822600","Deep Learning for Chest Radiology: A Review","2019","Current Radiology Reports","13","10.1007/s40134-019-0333-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068776698&doi=10.1007%2fs40134-019-0333-9&partnerID=40&md5=c8b3add556ad1950456d7ddc3dd85e30","Background: Compared to classical computer-aided analysis, deep learning and in particular deep convolutional neural network demonstrates breakthrough performance in many of the sophisticated chest-imaging analysis tasks, and also enables solving new problems that are infeasible to traditional machine learning. Recent Findings: Deep learning application for radiology has shown that its performance for triaging adult chest radiography has reached a clinically acceptable level, while lung nodule detection from computed tomography has achieved interobserver variability comparable to experienced human observers, and automatically generating text report for chest radiograph is feasible. Summary: This article will provide a review of leading and emerging deep-learning-based applications in chest radiology. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.","Computed tomography; Deep learning; Pulmonary; Radiography","artificial neural network; atelectasis; bone density; cardiomegaly; classification algorithm; computer assisted tomography; deep learning; edema; emphysema; hernia; human; image reconstruction; image segmentation; interstitial lung disease; language test; learning algorithm; lung fibrosis; lung nodule; nerve cell network; pleura thickening; pneumonia; pneumothorax; priority journal; receptive field; recurrent neural network; Review; signal processing; speech discrimination; supervised machine learning; thorax disease; thorax radiography; transfer of learning","Review","Scopus"
"Chen P.-H.","Chen, Po-Hao (57157742600)","57157742600","Essential Elements of Natural Language Processing: What the Radiologist Should Know","2020","Academic Radiology","33","10.1016/j.acra.2019.08.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072221685&doi=10.1016%2fj.acra.2019.08.010&partnerID=40&md5=86ce32a29e1a0e2c1faf38c90c027d27","Natural language is ubiquitous in the workflow of medical imaging. Radiologists create and consume free text in their daily work, some of which can be amenable to enhancements through automatic processing. Recent advancements in deep learning and “artificial intelligence” have had a significant positive impact on natural language processing (NLP). This article discusses the history of how researchers have extracted data and encoded natural language information for analytical processing, starting from NLP's humble origins in hand-curated, linguistic rules. The evolution of medical NLP including vectorization, word embedding, classification, as well as its use in automated speech recognition, are also explored. Finally, the article will discuss the role of machine learning and neural networks in the context of significant, if incremental, improvements in NLP. © 2019 The Association of University Radiologists","Artificial intelligence; Deep learning; Natural language processing; Structured reporting; Text mining","Artificial Intelligence; Humans; Machine Learning; Natural Language Processing; Neural Networks, Computer; Radiologists; Radiology; artificial intelligence; artificial neural network; automatic speech recognition; deep learning; diagnostic imaging; embedding; human; human experiment; mining; natural language processing; radiologist; review; workflow; artificial intelligence; machine learning; radiologist; radiology","Review","Scopus"
"Ranschaert E.; Topff L.; Pianykh O.","Ranschaert, Erik (57191017885); Topff, Laurens (55220120300); Pianykh, Oleg (6603235403)","57191017885; 55220120300; 6603235403","Optimization of Radiology Workflow with Artificial Intelligence","2021","Radiologic Clinics of North America","20","10.1016/j.rcl.2021.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118715979&doi=10.1016%2fj.rcl.2021.06.006&partnerID=40&md5=06387fb342596fe3cd3ccda626ed28fe","[No abstract available]","Artificial intelligence; Machine learning; Operational efficiency; Radiology; Workflow","Artificial Intelligence; Diagnostic Imaging; Humans; Image Interpretation, Computer-Assisted; Radiology; Workflow; artificial intelligence; automatic speech recognition; clinical decision support system; clinical protocol; computer assisted tomography; computerized provider order entry; digital imaging and communications in medicine; hospital management; human; machine learning; nuclear magnetic resonance imaging; operational efficiency; patient scheduling; process optimization; radiology; report generation; resource allocation; Review; workflow; computer assisted diagnosis; diagnostic imaging; procedures; radiology","Review","Scopus"
"Arnold C.W.; Bui A.A.T.; Morioka C.; El-Saden S.; Kangarloo H.","Arnold, Corey W. (18436092400); Bui, Alex A. T. (7005377593); Morioka, Craig (7003414148); El-Saden, Suzie (35508689700); Kangarloo, Hooshang (7005308611)","18436092400; 7005377593; 7003414148; 35508689700; 7005308611","Informatics in radiology: A prototype web-based reporting system for onsite-offsite clinician communication","2007","Radiographics","14","10.1148/rg.274065124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547803650&doi=10.1148%2frg.274065124&partnerID=40&md5=96c8faed9d5c9a1f2e0e2cbf805bdd30","The communication of imaging findings to a referring physician is an important role of the radiologist. However, communication between onsite and offsite physicians is a time-consuming process that can obstruct work flow and frequently involves no exchange of visual information, which is especially problematic given the importance of radiologic images for diagnosis and treatment. A prototype World Wide Web-based image documentation and reporting system was developed for use in supporting a ""communication loop"" that is based on the concept of a classic ""wet-read"" system. The proposed system represents an attempt to address many of the problems seen in current communication work flows by implementing a well-documented and easily accessible communication loop that is adaptable to different types of imaging study evaluation. Images are displayed in a native (DICOM) Digital Imaging and Communications in Medicine format with a Java applet, which allows accurate presentation along with use of various image manipulation tools. The Web-based infrastructure consists of a server that stores imaging studies and reports, with Web browsers that download and install necessary client software on demand. Application logic consists of a set of PHP (hypertext preprocessor) modules that are accessible with an application programming interface. The system may be adapted to any clinician-specialist communication loop, and, because it integrates radiologic standards with Web-based technologies, can more effectively communicate and document imaging data. ©RSNA, 2007.","","Information Dissemination; Information Storage and Retrieval; Internet; Medical Informatics; Pilot Projects; Radiology; Radiology Information Systems; Remote Consultation; User-Computer Interface; computer interface; hospital information system; information dissemination; information retrieval; Internet; medical informatics; methodology; organization and management; pilot study; radiology; review; teleconsultation","Review","Scopus"
"Aksoy S.; Aksoy U.; Orhan K.","Aksoy, Seçil (36668149100); Aksoy, Umut (56124374700); Orhan, Kaan (8502419700)","36668149100; 56124374700; 8502419700","An overview of the 35 years of research in the oral radiology: a bibliometric analysis","2022","Oral Radiology","2","10.1007/s11282-021-00542-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108205591&doi=10.1007%2fs11282-021-00542-6&partnerID=40&md5=ece0f34555441332155df231a4b94dcb","Objectives: The aim of this study was to provide a bibliometric overview of the oral radiology journal output, contents, and leading trends, and also include a detailed authorship analysis by evaluating the top contributors, and their geographic distributions between 1985 and 2020 years. Methods: The databases available on the Scopus and journal’s Web Page were searched to identify the all published articles and reports with no restriction regarding publication year or study design. Seven hundred and seventy-seven articles were included and analyzed for the following bibliometric criteria: publication title, authorship, publication year, coauthors, institution of origin, country of origin, collaborating institution and countries, article category, study field, and number of citations based on the Scopus and Google Scholar. Results: Original article is by far the largest group of study outcome that more than half of the articles were in this category and followed by the case reports (19.8%). The leading countries according to number of the articles were Japan by far (59.8%) followed by Turkey (10.8%) and South Korea (5.2%). The article by Arnheiter, Scarfe, and Farman has received the highest number of citations overall. As first and/or coauthor, Ariji E emerged as a most productive author with 35 publications and Osaka University was determined as the most prominent institutions by publishing the greatest number of articles. More than half of the articles were in the “Diagnosis of Orofacial Diseases” study field. Conclusion: This bibliometric analysis provides a comprehensive overall picture of the 35 years of research progress and publication trends in oral radiology. © 2021, The Author(s), under exclusive licence to Japanese Society for Oral and Maxillofacial Radiology and Springer Nature Singapore Pte Ltd.","Author; Bibliometric study; Citations; Maxillofacial radiology; Oral radiology","Bibliometrics; Humans; Japan; Radiography; Radiology; Turkey; artificial intelligence; bibliometrics; cone beam computed tomography; education; geographic distribution; human; Japan; medical literature; medical research; nuclear magnetic resonance imaging; panoramic radiography; radiation protection; radiation safety; radiobiology; radiology; radiotherapy; Review; South Korea; teleradiology; Turkey (republic); radiography; turkey (bird)","Review","Scopus"
"Steinkamp J.; Cook T.S.","Steinkamp, Jackson (57200859444); Cook, Tessa S. (36144992200)","57200859444; 36144992200","Basic Artificial Intelligence Techniques: Natural Language Processing of Radiology Reports","2021","Radiologic Clinics of North America","9","10.1016/j.rcl.2021.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117560809&doi=10.1016%2fj.rcl.2021.06.003&partnerID=40&md5=dbb255d28fdcde5b5fff08ec30923102","[No abstract available]","Natural language processing; Radiology; Radiology reports; Transformers; Word embeddings","Artificial Intelligence; Humans; Image Interpretation, Computer-Assisted; Natural Language Processing; Radiology; artificial intelligence; artificial neural network; attention based network; classification algorithm; data aggregation; data classification; data cleaning; data extraction; document classification; human; imaging algorithm; information extraction; information processing; named entity recognition; natural language processing; nonhuman; radiology; recognition; recurrent neural network; Review; sentence classification; software; statistical model; task performance; artificial intelligence; computer assisted diagnosis; procedures; radiology","Review","Scopus"
"Park S.H.; Sul A.-R.; Ko Y.; Jang H.Y.; Lee J.-G.","Park, Seong Ho (57832696100); Sul, Ah-Ram (58653891000); Ko, Yousun (56030047400); Jang, Hye Young (57195219819); Lee, June-Goo (58617988700)","57832696100; 58653891000; 56030047400; 57195219819; 58617988700","Radiologist's Guide to Evaluating Publications of Clinical Research on AI: How We Do It","2023","Radiology","0","10.1148/radiol.230288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172255482&doi=10.1148%2fradiol.230288&partnerID=40&md5=fd0f68976c92bb27fe511c4e80111085","Literacy in research studies of artificial intelligence (AI) has become an important skill for radiologists. It is required to make a proper assessment of the validity, reproducibility, and clinical applicability of AI studies. However, AI studies are generally perceived to be more difficult for clinician readers to evaluate than traditional clinical research studies. This special report-as an effective, concise guide for readers-aims to assist clinical radiologists in critically evaluating different types of clinical research articles involving AI. It does not intend to be a comprehensive checklist or methodological summary for complete clinical evaluation of AI or a reporting guideline. Ten key items for readers to check are described, regarding study purpose, function and clinical context of AI, training data, data preprocessing, AI modeling techniques, test data, AI performance, helpfulness and value of AI, interpretability of AI, and code sharing. The important aspects of each item are explained for readers to consider when reading publications on AI clinical research. Evaluating each item can help radiologists assess the validity, reproducibility, and clinical applicability of clinical research articles involving AI. © 2023 Radiological Society of North America Inc.. All rights reserved.","","Artificial Intelligence; Humans; Radiologists; Reproducibility of Results; Research Design; artificial intelligence; checklist; clinical evaluation; clinical research; cooperation; human; literacy; practice guideline; radiologist; reproducibility; review; validity; artificial intelligence; methodology","Review","Scopus"
